"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_LSC_RDNG","SD","Proportion of children at the end of lower secondary achieving at least a minimum proficiency level in reading","M49_EUR_WE","LIE","Liechtenstein","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.62","C, 21, 55","","","","","","","",""
"4","4.2","4.2.2","C040202","Participation rate in organized learning (one year before the official primary entry age), by sex","SE_PRE_PARTN","SD","Participation rate in organized learning (one year before the official primary entry age)","M49_EUR_WE","LIE","Liechtenstein","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","98.53","CA, 12, 56","95.53","CA, 13, 56","","","96.79","CA, 15, 56","98.02","CA, 16, 56","95.79","CA, 17, 56","98.70","CA, 18, 56","96.26","CA, 19, 56","98.94","CA, 20, 56","98.19","CA, 21, 56","","","99.59","CA, 23, 56","98.14","CA, 24, 56","",""
"4","4.2","4.2.2","C040202","Participation rate in organized learning (one year before the official primary entry age), by sex","SE_PRE_PARTN","SD","Participation rate in organized learning (one year before the official primary entry age)","M49_EUR_WE","LIE","Liechtenstein","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","97.15","CA, 12, 56","96.44","CA, 13, 56","","","100.00","CA, 15, 56","97.38","CA, 16, 56","98.83","CA, 17, 56","100.00","CA, 18, 56","95.73","CA, 19, 56","99.47","CA, 20, 56","98.98","CA, 21, 56","","","100.00","CA, 23, 56","95.87","CA, 24, 56","",""
"4","4.2","4.2.2","C040202","Participation rate in organized learning (one year before the official primary entry age), by sex","SE_PRE_PARTN","SD","Participation rate in organized learning (one year before the official primary entry age)","M49_EUR_WE","LIE","Liechtenstein","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","100.00","CA, 12, 56","94.59","CA, 13, 56","","","93.07","CA, 15, 56","98.60","CA, 16, 56","93.30","CA, 17, 56","97.43","CA, 18, 56","96.74","CA, 19, 56","98.43","CA, 20, 56","97.38","CA, 21, 56","","","99.23","CA, 23, 56","100.00","CA, 24, 56","",""
"4","4.5","4.5.1","C040501","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","SE_LSC_GPIMATH","SD","Gender parity index for achievement in mathematics by the end of lower secondary","M49_EUR_WE","LIE","Liechtenstein","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Ratio","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.93","C, 21, 55","","","","","","","",""
"4","4.5","4.5.1","C040501","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","SE_LSC_GPIRDNG","SD","Gender parity index for achievement in reading by the end of lower secondary","M49_EUR_WE","LIE","Liechtenstein","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Ratio","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.06","C, 21, 55","","","","","","","",""
"4","4.5","4.5.1","C040501","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","SE_LSC_SESPIMATH","SD","Low to high socio-economic parity status index for achievement in mathematics by the end of lower secondary","M49_EUR_WE","LIE","Liechtenstein","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Ratio","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.79","C, 21, 55","","","","","","","",""
"4","4.5","4.5.1","C040501","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","SE_LSC_SESPIRDNG","SD","Low to high socio-economic parity status index for achievement in reading by the end of lower secondary","M49_EUR_WE","LIE","Liechtenstein","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Ratio","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.81","C, 21, 55","","","","","","","",""
"4","4.5","4.5.1","C040501","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","SE_PRE_GPIPARTN","SD","Gender parity index for participation rate in organized learning (one year before the official primary entry age)","M49_EUR_WE","LIE","Liechtenstein","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Ratio","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","0.97","CA, 12, 56","1.02","CA, 13, 56","","","1.07","CA, 15, 56","0.99","CA, 16, 56","1.06","CA, 17, 56","1.03","CA, 18, 56","0.99","CA, 19, 56","1.01","CA, 20, 56","1.02","CA, 21, 56","","","1.01","CA, 23, 56","0.96","CA, 24, 56","",""
"5","5.5","5.5.1","C050501","Proportion of seats held by women in (a) national parliaments and (b) local governments","SG_GEN_PARL","SD","Proportion of seats held by women in national parliaments","M49_EUR_WE","LIE","Liechtenstein","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","4.00","C, 9, 57, 88","4.00","C, 10, 57, 88","12.00","C, 11, 57, 88","12.00","C, 12, 57, 88","12.00","C, 13, 57, 88","12.00","C, 14, 57, 88","24.00","C, 15, 57, 88","24.00","C, 16, 57, 88","24.00","C, 17, 57, 88","24.00","C, 18, 57, 88","24.00","C, 19, 57, 88","24.00","C, 20, 57, 88","24.00","C, 21, 57, 88","24.00","C, 22, 57, 88","20.00","C, 23, 57, 88","20.00","C, 24, 57, 88","20.00","C, 25, 57, 88"
