"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","M49_NAM","BMU","Bermuda","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","4.60","E, 12, 56, 81","9.10","E, 13, 56, 81","6.80","E, 14, 56, 81","4.60","E, 15, 56, 81","3.80","E, 16, 56, 81","3.00","E, 17, 56, 81","2.30","E, 18, 56, 81","1.50","E, 19, 56, 81","1.60","E, 20, 56, 81","4.70","E, 21, 56, 81","","","","","","","",""
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","M49_NAM","BMU","Bermuda","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","6.10","E, 12, 56, 81","12.00","E, 13, 56, 81","9.20","E, 14, 56, 81","6.10","E, 15, 56, 81","5.10","E, 16, 56, 81","4.10","E, 17, 56, 81","3.10","E, 18, 56, 81","2.10","E, 19, 56, 81","2.10","E, 20, 56, 81","6.30","E, 21, 56, 81","","","","","","","",""
"4","4.2","4.2.2","C040202","Participation rate in organized learning (one year before the official primary entry age), by sex","SE_PRE_PARTN","SD","Participation rate in organized learning (one year before the official primary entry age)","M49_NAM","BMU","Bermuda","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.80","C, 20, 57","60.55","C, 21, 57","","","","","","","",""
"4","4.2","4.2.2","C040202","Participation rate in organized learning (one year before the official primary entry age), by sex","SE_PRE_PARTN","SD","Participation rate in organized learning (one year before the official primary entry age)","M49_NAM","BMU","Bermuda","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.33","C, 20, 57","63.23","C, 21, 57","","","","","","","",""
"4","4.2","4.2.2","C040202","Participation rate in organized learning (one year before the official primary entry age), by sex","SE_PRE_PARTN","SD","Participation rate in organized learning (one year before the official primary entry age)","M49_NAM","BMU","Bermuda","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.25","C, 20, 57","57.95","C, 21, 57","","","","","","","",""
"4","4.5","4.5.1","C040501","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","SE_LSC_GPITCH","SD","Gender parity index of teachers in lower secondary education who are trained","M49_NAM","BMU","Bermuda","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Ratio","Units","","","","","","","","","","","","","","","","","","","","","","","1.00","C, 10, 57","1.00","C, 11, 57","1.00","C, 12, 57","1.00","C, 13, 57","1.00","C, 14, 57","1.00","C, 15, 57","","","","","","","","","1.00","C, 20, 57","1.00","C, 21, 57","0.88","C, 22, 57","1.00","C, 23, 57","","","",""
"4","4.5","4.5.1","C040501","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","SE_PRE_GPIPARTN","SD","Gender parity index for participation rate in organized learning (one year before the official primary entry age)","M49_NAM","BMU","Bermuda","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Ratio","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.98","C, 20, 57","1.09","C, 21, 57","","","","","","","",""
"4","4.5","4.5.1","C040501","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","SE_PRM_GPITCH","SD","Gender parity index of teachers in primary education who are trained","M49_NAM","BMU","Bermuda","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Ratio","Units","","","","","","","","","","","","","","","","","","","","","","","1.00","C, 10, 57","1.00","C, 11, 57","1.00","C, 12, 57","1.00","C, 13, 57","1.00","C, 14, 57","1.00","C, 15, 57","","","","","","","","","1.00","C, 20, 57","1.00","C, 21, 57","0.94","C, 22, 57","1.00","C, 23, 57","","","",""
"4","4.5","4.5.1","C040501","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","SE_USC_GPITCH","SD","Gender parity index of teachers in upper secondary education who are trained","M49_NAM","BMU","Bermuda","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Ratio","Units","","","","","","","","","","","","","","","","","","","","","","","1.00","C, 10, 57","1.00","C, 11, 57","1.00","C, 12, 57","1.00","C, 13, 57","1.00","C, 14, 57","1.00","C, 15, 57","","","","","","","","","1.00","C, 20, 57","1.00","C, 21, 57","0.92","C, 22, 57","1.00","C, 23, 57","","","",""
"4","4.c","4.c.1","C040c01","Proportion of teachers in: (a) pre-primary; (b) primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","SE_LSC_TRTCHRTCH","SD","Proportion of teachers in lower secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country","M49_NAM","BMU","Bermuda","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","100.00","C, 10, 57","100.00","C, 11, 57","100.00","C, 12, 57","100.00","C, 13, 57","100.00","C, 14, 57","100.00","C, 15, 57","","","","","","","","","100.00","C, 20, 57","100.00","C, 21, 57","83.21","C, 22, 57","100.00","C, 23, 57","","","",""
