"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"3","3.3","3.3.5","C030305","Number of people requiring interventions against neglected tropical diseases","SH_TRP_INTVN","SD","Number of people requiring interventions against neglected tropical diseases","M49_EUR_WE","MCO","Monaco","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00","CA, 19, 56, 92","0.00","CA, 20, 56, 92","0.00","CA, 21, 56, 92","0.00","CA, 22, 56, 92","0.00","CA, 23, 56, 92","0.00","CA, 24, 56, 92","",""
"3","3.6","3.6.1","C030601","Death rate due to road traffic injuries","SH_STA_TRAF","SD","Death rate due to road traffic injuries","M49_EUR_WE","MCO","Monaco","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","9.40","C, 9, 57","9.30","C, 10, 57","9.20","C, 11, 57","9.10","C, 12, 57","9.00","C, 13, 57","8.90","C, 14, 57","2.90","C, 15, 57","5.70","C, 16, 57","2.80","C, 17, 57","0.00","C, 18, 57","5.40","C, 19, 57","13.40","C, 20, 57","0.00","C, 21, 57","0.00","C, 22, 57","","","","","",""
"3","3.9","3.9.1","C030901","Mortality rate attributed to household and ambient air pollution","SH_AAP_ASMORT","SD","Mortality rate attributed to household and ambient air pollution","M49_EUR_WE","MCO","Monaco","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.57","E, 21, 58","","","","","","","",""
"3","3.9","3.9.1","C030901","Mortality rate attributed to household and ambient air pollution","SH_AAP_MORT","SD","Mortality rate attributed to household and ambient air pollution","M49_EUR_WE","MCO","Monaco","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.35","E, 21, 58","","","","","","","",""
"3","3.9","3.9.1","C030901","Mortality rate attributed to household and ambient air pollution","SH_HAP_ASMORT","SD","Mortality rate attributed to household and ambient air pollution","M49_EUR_WE","MCO","Monaco","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00","E, 21, 58","","","","","","","",""
"3","3.9","3.9.1","C030901","Mortality rate attributed to household and ambient air pollution","SH_HAP_MORT","SD","Mortality rate attributed to household and ambient air pollution","M49_EUR_WE","MCO","Monaco","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00","E, 21, 58","","","","","","","",""
"3","3.c","3.c.1","C030c01","Health worker density and distribution","SH_MED_DENTSTY","+","Health worker density of dentistry personnel per 1,000 population","M49_EUR_WE","MCO","Monaco","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 1,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.02","C, 20, 59","0.99","C, 21, 59","1.01","C, 22, 59","1.01","C, 23, 59","","","",""
"3","3.c","3.c.1","C030c01","Health worker density and distribution","SH_MED_NSRMWY","+","Health worker density of nursing and midwifery personnel per 1,000 population","M49_EUR_WE","MCO","Monaco","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 1,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.99","C, 23, 59","","","",""
"3","3.c","3.c.1","C030c01","Health worker density and distribution","SH_MED_PHARMA","+","Health worker density of pharmaceutrical personnel per 1,000 population","M49_EUR_WE","MCO","Monaco","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 1,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.50","C, 20, 59","2.57","C, 21, 59","","","2.61","C, 23, 59","","","",""
"3","3.c","3.c.1","C030c01","Health worker density and distribution","SH_MED_PHYSNS","+","Health worker density of physicians per 1,000 population","M49_EUR_WE","MCO","Monaco","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 1,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.72","C, 20, 59","6.79","C, 21, 59","6.66","C, 22, 59","6.65","C, 23, 59","","","",""
"3","3.d","3.d.1","C030d01","International Health Regulations (IHR) capacity and health emergency preparedness","SH_IHR_CAPPRD","SD","International Health Regulations (IHR) core capacity index","M49_EUR_WE","MCO","Monaco","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Index","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.30","NA, 25"
"5","5.5","5.5.1","C050501","Proportion of seats held by women in (a) national parliaments and (b) local governments","SG_GEN_PARL","SD","Proportion of seats held by women in national parliaments","M49_EUR_WE","MCO","Monaco","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","22.22","C, 9, 60, 93","22.22","C, 10, 60, 93","22.22","C, 11, 60, 93","22.22","C, 12, 60, 93","20.83","C, 13, 60, 93","20.83","C, 14, 60, 93","20.83","C, 15, 60, 93","20.83","C, 16, 60, 93","20.83","C, 17, 60, 93","25.00","C, 18, 60, 93","26.09","C, 19, 60, 93","26.09","C, 20, 60, 93","19.05","C, 21, 60, 93","19.05","C, 22, 60, 93","20.83","C, 23, 60, 93","20.83","C, 24, 60, 93","20.83","C, 25, 60, 93"
"5","5.5","5.5.1","C050501","Proportion of seats held by women in (a) national parliaments and (b) local governments","SG_GEN_PARLN","SD","Number of seats held by women in national parliaments","M49_EUR_WE","MCO","Monaco","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Number","Units","","","","","","","","","","","","","","","","","","","","","4.00","C, 9, 60, 93","4.00","C, 10, 60, 93","4.00","C, 11, 60, 93","4.00","C, 12, 60, 93","5.00","C, 13, 60, 93","5.00","C, 14, 60, 93","5.00","C, 15, 60, 93","5.00","C, 16, 60, 93","5.00","C, 17, 60, 93","6.00","C, 18, 60, 93","6.00","C, 19, 60, 93","6.00","C, 20, 60, 93","4.00","C, 21, 60, 93","4.00","C, 22, 60, 93","5.00","C, 23, 60, 93","5.00","C, 24, 60, 93","5.00","C, 25, 60, 93"
"5","5.5","5.5.1","C050501","Proportion of seats held by women in (a) national parliaments and (b) local governments","SG_GEN_PARLNT","SD","Number of seats in national parliaments","M49_EUR_WE","MCO","Monaco","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","18.00","C, 9, 60, 93","18.00","C, 10, 60, 93","18.00","C, 11, 60, 93","18.00","C, 12, 60, 93","24.00","C, 13, 60, 93","24.00","C, 14, 60, 93","24.00","C, 15, 60, 93","24.00","C, 16, 60, 93","24.00","C, 17, 60, 93","24.00","C, 18, 60, 93","23.00","C, 19, 60, 93","23.00","C, 20, 60, 93","21.00","C, 21, 60, 93","21.00","C, 22, 60, 93","24.00","C, 23, 60, 93","24.00","C, 24, 60, 93","24.00","C, 25, 60, 93"
"6","6.1","6.1.1","C060101","Proportion of population using safely managed drinking water services","SH_H2O_SAFE","SD","Proportion of population using safely managed drinking water services","M49_EUR_WE","MCO","Monaco","","","","Annual","Other","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","100.00","E, 9, 61","100.00","E, 10, 61","100.00","E, 11, 61","100.00","E, 12, 61","100.00","E, 13, 61","100.00","E, 14, 61","100.00","E, 15, 61","100.00","E, 16, 61","100.00","E, 17, 61","100.00","E, 18, 61","100.00","E, 19, 61","100.00","E, 20, 61","100.00","E, 21, 61","100.00","E, 22, 61","100.00","E, 23, 61","100.00","E, 24, 61","",""
"6","6.1","6.1.1","C060101","Proportion of population using safely managed drinking water services","SH_H2O_SAFE","SD","Proportion of population using safely managed drinking water services","M49_EUR_WE","MCO","Monaco","","","","Annual","Other","All age ranges or no breakdown by age","Urban","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","100.00","E, 9, 61","100.00","E, 10, 61","100.00","E, 11, 61","100.00","E, 12, 61","100.00","E, 13, 61","100.00","E, 14, 61","100.00","E, 15, 61","100.00","E, 16, 61","100.00","E, 17, 61","100.00","E, 18, 61","100.00","E, 19, 61","100.00","E, 20, 61","100.00","E, 21, 61","100.00","E, 22, 61","100.00","E, 23, 61","100.00","E, 24, 61","",""
