"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"2","2.5","2.5.2","C020502","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","ER_UNK_LBRED","SD","Proportion of local breeds classified as being at unknown level of risk of extinction","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","2.5","2.5.2","C020502","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","ER_UNK_LBREDN","+","Number of local breeds classified as being at unknown level of risk of extinction","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","2.a","2.a.2","C020a02","Total official flows (official development assistance plus other official flows) to the agriculture sector","DC_TOF_AGRL","SD","Total official flows disbursements for agriculture, by recipient","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Constant USD","Billions","","","","","","","","","","","","","","","","","","","","","2.77","NA, 11, 114","4.20","NA, 12, 114","5.80","NA, 13, 115","","","0.25","NA, 15, 115","0.59","NA, 16, 115","3.89","NA, 17, 115","0.60","NA, 18, 115","0.36","NA, 19, 115","1.24","NA, 20, 115","0.97","NA, 21, 115","0.49","NA, 22, 115","0.11","NA, 23, 115","0.12","NA, 24, 115","","","","","",""
"3","3.1","3.1.2","C030102","Proportion of births attended by skilled health personnel","SH_STA_BRTC","SD","Proportion of births attended by skilled health personnel","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","99.40","C, 9, 45","","","99.40","C, 11, 33","","","99.50","C, 13, 34","","","100.00","C, 15, 35","100.00","C, 16, 36","","","100.00","C, 18, 37","100.00","C, 19, 38","100.00","C, 20, 39","100.00","C, 21, 40","100.00","C, 22, 44","100.00","C, 23, 41","100.00","C, 24, 42","100.00","C, 25, 43","","","",""
"3","3.2","3.2.1","C030201","Under-five mortality rate","SH_DYN_IMRT","+","Infant mortality rate","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","under 1 year old","Total (national level)","Both sexes or no breakdown by sex","","Per 1,000 live births","Units","","","","","","","","","","","","","","","","","","","","","15.00","11, 46","14.30","12, 46","13.70","13, 46","13.10","14, 46","12.60","15, 46","12.20","16, 46","11.70","17, 46","11.20","18, 46","10.80","19, 46","10.40","20, 46","10.00","21, 46","9.60","22, 46","9.30","23, 46","9.00","24, 46","8.70","25, 46","8.40","26, 46","",""
"3","3.2","3.2.1","C030201","Under-five mortality rate","SH_DYN_IMRTN","+","Number of infant deaths","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","under 1 year old","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","15.00","11, 46","14.00","12, 46","13.00","13, 46","12.00","14, 46","11.00","15, 46","11.00","16, 46","11.00","17, 46","10.00","18, 46","10.00","19, 46","10.00","20, 46","10.00","21, 46","9.00","22, 46","9.00","23, 46","9.00","24, 46","8.00","25, 46","8.00","26, 46","",""
"3","3.2","3.2.1","C030201","Under-five mortality rate","SH_DYN_MORT","SD","Under-five mortality rate","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","under 5 years old","Total (national level)","Both sexes or no breakdown by sex","","Per 1,000 live births","Units","","","","","","","","","","","","","","","","","","","","","18.60","11, 46","17.80","12, 46","17.10","13, 46","16.40","14, 46","15.80","15, 46","15.20","16, 46","14.60","17, 46","14.00","18, 46","13.50","19, 46","13.00","20, 46","12.50","21, 46","12.10","22, 46","11.70","23, 46","11.30","24, 46","10.90","25, 46","10.50","26, 46","",""
"3","3.2","3.2.1","C030201","Under-five mortality rate","SH_DYN_MORTN","+","Number of under-five deaths","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","under 5 years old","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","19.00","11, 46","18.00","12, 46","16.00","13, 46","15.00","14, 46","14.00","15, 46","14.00","16, 46","13.00","17, 46","13.00","18, 46","13.00","19, 46","13.00","20, 46","12.00","21, 46","12.00","22, 46","11.00","23, 46","11.00","24, 46","10.00","25, 46","10.00","26, 46","",""
"3","3.2","3.2.2","C030202","Neonatal mortality rate","SH_DYN_NMRT","SD","Neonatal mortality rate","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","under 1 month old","Total (national level)","Both sexes or no breakdown by sex","","Per 1,000 live births","Units","","","","","","","","","","","","","","","","","","","","","11.60","11, 46","11.10","12, 46","10.70","13, 46","10.30","14, 46","9.90","15, 46","9.50","16, 46","9.10","17, 46","8.80","18, 46","8.40","19, 46","8.10","20, 46","7.80","21, 46","7.50","22, 46","7.20","23, 46","7.00","24, 46","6.80","25, 46","6.50","26, 46","",""
"3","3.2","3.2.2","C030202","Neonatal mortality rate","SH_DYN_NMRTN","+","Number of neonatal deaths","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","under 1 month old","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","12.00","11, 46","11.00","12, 46","10.00","13, 46","10.00","14, 46","9.00","15, 46","8.00","16, 46","8.00","17, 46","8.00","18, 46","8.00","19, 46","8.00","20, 46","8.00","21, 46","7.00","22, 46","7.00","23, 46","7.00","24, 46","6.00","25, 46","6.00","26, 46","",""
