"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"10","10.4","10.4.1","C100401","Labour share of GDP, comprising wages and social protection transfers","SL_EMP_GTOTL","SD","Labour share of GDP, comprising wages and social protection transfers","M49_EUR_NE","IMN","Isle of Man","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.00","C, 15, 25, 38","31.00","C, 16, 25, 38","","","",""
"10","10.6","10.6.1","C200205","Proportion of members and voting rights of developing countries in international organizations","SG_INT_MBRIABD","SD","Proportion of developing countries in the membership of the Inter-American Development Bank","M49_EUR_NE","IMN","Isle of Man","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","2.17","G, 2, 26","","","","","","","","","2.13","G, 7, 27","","","","","","","","","2.08","G, 12, 28","","","","","","","","","2.08","G, 17, 29","",""
"10","10.6","10.6.1","C200205","Proportion of members and voting rights of developing countries in international organizations","SG_INT_VRTIABD","SD","Proportion of voting rights of developing countries in the Inter-American Development Bank","M49_EUR_NE","IMN","Isle of Man","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.16","G, 2, 26","","","","","","","","","0.16","G, 7, 27","","","","","","","","","0.16","G, 12, 28","","","","","","","","","0.16","G, 17, 29","",""
"14","14.5","14.5.1","C140501","Coverage of protected areas in relation to marine areas","ER_MRN_MARIN","SD","Coverage of protected areas in relation to marine areas","M49_EUR_NE","IMN","Isle of Man","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00","NA, 18, 30, 39"
"14","14.5","14.5.1","C140501","Coverage of protected areas in relation to marine areas","ER_MRN_MARINT","+","Coverage of protected areas in relation to marine areas","M49_EUR_NE","IMN","Isle of Man","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Square kilometers","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.00","NA, 18, 30, 39"
"15","15.1","15.1.1","C150101","Forest area as a proportion of total land area","AG_LND_FRST","SD","Forest area as a proportion of total land area","M49_EUR_NE","IMN","Isle of Man","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","6.06","NA, 1, 31","","","","","","","","","","","","","","","","","","","6.06","NA, 2, 31","","","","","","","","","6.06","NA, 7, 31","","","","","","","","","6.06","NA, 12, 31","","","","","","","","","6.06","NA, 17, 31","",""
"15","15.1","15.1.1","C150101","Forest area as a proportion of total land area","AG_LND_FRSTN","+","Forest area as a proportion of total land area","M49_EUR_NE","IMN","Isle of Man","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Hectares","Units","3.46","NA, 1, 31","","","","","","","","","","","","","","","","","","","3.46","NA, 2, 31","","","","","","","","","3.46","NA, 7, 31","","","","","","","","","3.46","NA, 12, 31","","","","","","","","","3.46","NA, 17, 31","",""
"15","15.1","15.1.1","C150101","Forest area as a proportion of total land area","AG_LND_TOTL","+","Forest area as a proportion of total land area","M49_EUR_NE","IMN","Isle of Man","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Hectares","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.06","NA, 17, 31","",""
"15","15.2","15.2.1","C150201","Progress towards sustainable forest management","AG_LND_FRSTCERT","SD","Proportion of forest area certified under an independently verified certification scheme","M49_EUR_NE","IMN","Isle of Man","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00","NA, 12, 31, 40","","","","","","","0.00","NA, 16, 31, 40","","","",""
"16","16.8","16.8.1","C200205","Proportion of members and voting rights of developing countries in international organizations","SG_INT_MBRIABD","SD","Proportion of developing countries in the membership of the Inter-American Development Bank","M49_EUR_NE","IMN","Isle of Man","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","2.17","G, 2, 26","","","","","","","","","2.13","G, 7, 27","","","","","","","","","2.08","G, 12, 28","","","","","","","","","2.08","G, 17, 29","",""
"16","16.8","16.8.1","C200205","Proportion of members and voting rights of developing countries in international organizations","SG_INT_VRTIABD","SD","Proportion of voting rights of developing countries in the Inter-American Development Bank","M49_EUR_NE","IMN","Isle of Man","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.16","G, 2, 26","","","","","","","","","0.16","G, 7, 27","","","","","","","","","0.16","G, 12, 28","","","","","","","","","0.16","G, 17, 29","",""
"16","16.10","16.10.1","C161001","Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months","VC_VAW_MTUHRA","+","Number of cases of killings of journalists and associated media personnel","M49_EUR_NE","IMN","Isle of Man","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00","G, 12, 32, 41","","","","","","","","","0.00","G, 17, 32, 41","",""
"17","17.19","17.19.2","C171902","Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration","SG_REG_BRTH90N","+","Number of countries with birth registration data that are at least 90 percent complete","M49_EUR_NE","IMN","Isle of Man","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.00","NA, 17, 34, 43","",""
"17","17.19","17.19.2","C171902","Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration","SG_REG_CENSUSN","+","Number of countries that have conducted at least one population and housing census in the last 10 years","M49_EUR_NE","IMN","Isle of Man","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.00","C, 18, 33, 42"
"17","17.19","17.19.2","C171902","Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration","SG_REG_DETH75N","+","Number of countries with death registration data that are at least 75 percent complete","M49_EUR_NE","IMN","Isle of Man","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.00","C, 17, 34, 44","",""
